station_id,transaction_date,station_type,region,fuel_type,litres_sold,transaction_value,payment_method,theft_flag,prevention_strategy,staff_present,incident_reported,resolution_status
ST1000,3/24/2014,Staffed,Christchurch,Diesel,75,214.26,Post-pay,0,ANPR,1,Yes,Pending
ST1001,3/29/2013,Unmanned,Christchurch,Diesel,61,186.59,Post-pay,0,Pre-pay Policy,1,No,Unresolved
ST1002,3/23/2015,Staffed,Auckland,95,25,71.9,Post-pay,0,CCTV,0,No,Recovered
ST1003,7/13/2015,Staffed,Wellington,95,61,178.66,Post-pay,0,ANPR,1,Yes,Recovered
ST1004,11/17/2016,Unmanned,Christchurch,91,33,94.27,Post-pay,0,None,1,Yes,Unresolved
ST1005,7/17/2017,Unmanned,Dunedin,91,41,114.56,Pre-pay,0,Pre-pay Policy,1,Yes,Pending
ST1006,12-07-18,Staffed,Wellington,91,46,127.97,Pre-pay,0,ANPR,0,No,Pending
ST1007,3/19/2019,Self-service,Hamilton,Diesel,74,225.35,Pre-pay,0,None,1,Yes,Unresolved
ST1008,7/22/2011,Staffed,Christchurch,95,75,208.38,Post-pay,0,CCTV,0,Yes,Pending
ST1009,11/22/2011,Staffed,Christchurch,Diesel,38,105.91,Pay-at-pump,1,Pre-pay Policy,1,Yes,Recovered
ST1010,11/25/2008,Staffed,Auckland,95,46,131.36,Pre-pay,0,None,1,Yes,Pending
ST1011,7/23/2012,Staffed,Hamilton,Diesel,57,160.72,Post-pay,0,Pre-pay Policy,0,Yes,Pending
ST1012,11/29/2012,Unmanned,Christchurch,95,45,136.87,Pay-at-pump,0,ANPR,0,No,Unresolved
ST1013,7/22/2013,Staffed,Dunedin,Diesel,36,101.35,Pre-pay,0,None,0,Yes,Unresolved
ST1014,7/18/2014,Self-service,Dunedin,Diesel,47,131.9,Post-pay,1,Pre-pay Policy,0,No,Unresolved
ST1015,11/24/2014,Unmanned,Auckland,91,54,156.39,Post-pay,1,None,1,Yes,Pending
ST1016,11/18/2015,Self-service,Auckland,Diesel,37,101.12,Pre-pay,0,CCTV,0,No,Recovered
ST1017,3/27/2012,Self-service,Auckland,91,56,158.13,Pre-pay,0,ANPR,0,Yes,Pending
ST1018,3/30/2011,Self-service,Wellington,95,26,72.27,Pay-at-pump,1,ANPR,1,Yes,Recovered
ST1019,02-12-13,Self-service,Wellington,95,38,115.34,Post-pay,0,None,1,No,Recovered
ST1020,7/22/2010,Unmanned,Wellington,91,53,162.02,Pre-pay,0,None,0,Yes,Pending
ST1021,11/24/2010,Unmanned,Wellington,Diesel,24,73.35,Post-pay,0,Pre-pay Policy,1,Yes,Unresolved
ST1022,10/17/2005,Self-service,Auckland,Diesel,37,104.01,Pre-pay,0,CCTV,0,Yes,Unresolved
ST1023,2/24/2006,Self-service,Dunedin,95,40,121.43,Post-pay,0,ANPR,0,Yes,Recovered
