station_id,transaction_date,station_type,region,fuel_type,litres_sold,transaction_value,payment_method,theft_flag,prevention_strategy,staff_present,incident_reported,resolution_status,year,month,day_of_week,segment
St1000,2014-03-24,Staffed,Christchurch,Diesel,75,214.26,Post-Pay,0,Anpr,1,Yes,Pending,2014,3,Monday,High
St1001,2013-03-29,Unmanned,Christchurch,Diesel,61,186.59,Post-Pay,0,Pre-Pay Policy,1,No,Unresolved,2013,3,Friday,Medium
St1002,2015-03-23,Staffed,Auckland,Gasoline 95,25,71.9,Post-Pay,0,Cctv,0,No,Recovered,2015,3,Monday,Low
St1003,2015-07-13,Staffed,Wellington,Gasoline 95,61,178.66,Post-Pay,0,Anpr,1,Yes,Recovered,2015,7,Monday,Medium
St1004,2016-11-17,Unmanned,Christchurch,Gasoline 91,33,94.27,Post-Pay,0,,1,Yes,Unresolved,2016,11,Thursday,Low
St1005,2017-07-17,Unmanned,Dunedin,Gasoline 91,41,114.56,Pre-Pay,0,Pre-Pay Policy,1,Yes,Pending,2017,7,Monday,Medium
St1006,2017-07-17,Staffed,Wellington,Gasoline 91,46,127.97,Pre-Pay,0,Anpr,0,No,Pending,2017,7,Monday,Medium
St1007,2019-03-19,Self-Service,Hamilton,Diesel,74,225.35,Pre-Pay,0,,1,Yes,Unresolved,2019,3,Tuesday,High
St1008,2011-07-22,Staffed,Christchurch,Gasoline 95,75,208.38,Post-Pay,0,Cctv,0,Yes,Pending,2011,7,Friday,High
St1009,2011-11-22,Staffed,Christchurch,Diesel,38,105.91,Pay-At-Pump,1,Pre-Pay Policy,1,Yes,Recovered,2011,11,Tuesday,Medium
St1010,2008-11-25,Staffed,Auckland,Gasoline 95,46,131.36,Pre-Pay,0,,1,Yes,Pending,2008,11,Tuesday,Medium
St1011,2012-07-23,Staffed,Hamilton,Diesel,57,160.72,Post-Pay,0,Pre-Pay Policy,0,Yes,Pending,2012,7,Monday,Medium
St1012,2012-11-29,Unmanned,Christchurch,Gasoline 95,45,136.87,Pay-At-Pump,0,Anpr,0,No,Unresolved,2012,11,Thursday,Medium
St1013,2013-07-22,Staffed,Dunedin,Diesel,36,101.35,Pre-Pay,0,,0,Yes,Unresolved,2013,7,Monday,Medium
St1014,2014-07-18,Self-Service,Dunedin,Diesel,47,131.9,Post-Pay,1,Pre-Pay Policy,0,No,Unresolved,2014,7,Friday,Medium
St1015,2014-11-24,Unmanned,Auckland,Gasoline 91,54,156.39,Post-Pay,1,,1,Yes,Pending,2014,11,Monday,Medium
St1016,2015-11-18,Self-Service,Auckland,Diesel,37,101.12,Pre-Pay,0,Cctv,0,No,Recovered,2015,11,Wednesday,Medium
St1017,2012-03-27,Self-Service,Auckland,Gasoline 91,56,158.13,Pre-Pay,0,Anpr,0,Yes,Pending,2012,3,Tuesday,Medium
