station_id,transaction_date,station_type,region,country,fuel_type,litres_sold,transaction_value,theft_flag,year,day_of_week
ST1000,2016-12-18,Staffed,Dunedin,New Zealand,95,80,228.95624117052213,0,2016,Sunday
ST1001,2020-03-08,Rural,Dunedin,Australia,91,143,277.25813016641024,1,2020,Sunday
ST1002,2017-01-15,Staffed,Christchurch,Papua New Guinea,91,58,94.9207772175605,0,2017,Sunday
ST1003,2016-05-15,Rural,Wellington,New Zealand,95,82,109.38583123096942,0,2016,Sunday
ST1004,2018-08-12,Staffed,Hamilton,New Zealand,Diesel,65,292.8487735104099,0,2018,Sunday
ST1005,2015-05-24,Staffed,Hamilton,Samoa,91,107,95.24423817737244,1,2015,Sunday
ST1006,2016-12-18,Rural,Christchurch,Papua New Guinea,Diesel,30,263.5962733423948,1,2016,Sunday
ST1007,2017-04-30,Rural,Dunedin,New Zealand,91,81,173.0694641120087,0,2017,Sunday
ST1008,2019-02-10,Rural,Auckland,Papua New Guinea,95,96,111.80776860079426,0,2019,Sunday
ST1009,2016-09-04,Urban,Dunedin,Australia,95,71,267.68747531812784,0,2016,Sunday
ST1010,2016-11-27,Unmanned,Christchurch,Fiji,91,23,161.32631375066637,0,2016,Sunday
ST1011,2017-11-26,Urban,Hamilton,New Zealand,95,78,178.70433848242254,0,2017,Sunday
ST1012,2017-07-02,Urban,Dunedin,Samoa,91,91,139.80834234994143,0,2017,Sunday
ST1013,2017-11-12,Staffed,Hamilton,Australia,95,112,198.23771285873187,0,2017,Sunday
ST1014,2019-12-08,Rural,Auckland,Papua New Guinea,Diesel,82,90.8809681462557,0,2019,Sunday
ST1015,2020-08-16,Unmanned,Hamilton,Australia,95,73,147.77038416294016,1,2020,Sunday
ST1016,2018-09-02,Staffed,Hamilton,New Zealand,Diesel,136,292.3530805838219,0,2018,Sunday
ST1017,2020-04-19,Urban,Wellington,Papua New Guinea,95,129,114.53335817528189,0,2020,Sunday
ST1018,2018-01-28,Rural,Wellington,Fiji,Diesel,93,214.18416613532304,0,2018,Sunday
ST1019,2015-05-31,Staffed,Wellington,Australia,95,126,131.29751605617372,1,2015,Sunday
ST1020,2019-11-03,Rural,Hamilton,New Zealand,Diesel,76,243.36828142165015,1,2019,Sunday
ST1021,2019-07-07,Staffed,Christchurch,Samoa,91,22,82.71841517958745,0,2019,Sunday
ST1022,2015-12-06,Rural,Hamilton,Papua New Guinea,91,139,292.45526126963614,0,2015,Sunday
ST1023,2016-02-14,Urban,Christchurch,Australia,Diesel,25,163.44738534590982,0,2016,Sunday
ST1024,2018-04-01,Unmanned,Christchurch,Australia,95,24,109.01261583661599,0,2018,Sunday
ST1025,2018-08-05,Urban,Wellington,Fiji,Diesel,24,68.37418683250317,0,2018,Sunday
ST1026,2020-03-08,Unmanned,Dunedin,Fiji,95,73,92.43947627188518,0,2020,Sunday
ST1027,2018-08-19,Rural,Auckland,Samoa,91,66,179.94348713900442,0,2018,Sunday
ST1028,2018-05-06,Staffed,Wellington,Samoa,95,28,134.25079410782158,0,2018,Sunday
ST1029,2015-12-20,Urban,Wellington,New Zealand,91,118,257.2208414706524,0,2015,Sunday
ST1030,2016-01-17,Unmanned,Dunedin,New Zealand,95,39,157.7218809154515,0,2016,Sunday
